last_name,first_name,id,job_title,department,email,phone,location
"Kim","David","k1l2m3n4","Communications Strategy Lead","Communications","david.kim@agency.gov","202-555-5567 x9012","Media Center - 2nd Floor"
"Lee","Jessica","p5q6r7s8","Legal Policy Advisor","Legal Services","jessica.lee@agency.gov","202-555-6678 x0123","Legal Building - 4th Floor"
"Martinez","Carlos","t9u0v1w2","Budget Compliance Specialist","Budget and Planning","carlos.martinez@agency.gov","202-555-7789 x1234","Finance Wing - 2nd Floor"
"Nguyen","Trang","x3y4z5a6","HR Diversity Coordinator","Human Resources","trang.nguyen@agency.gov","202-555-8890 x2345","HR Complex - 4th Floor"
"Patel","Raj","b7c8d9e0","IT Systems Architect","Information Technology","raj.patel@agency.gov","202-555-9901 x3456","Tech Center - 3rd Floor"
"Rodriguez","Elena","f1g2h3j4","Senior Policy Strategist","Policy","elena.rodriguez@agency.gov","202-555-0012 x4567","West Wing - 1st Floor"
"Sanchez","Miguel","k5l6m7n8","Administrative Operations Manager","Administration","miguel.sanchez@agency.gov","202-555-1123 x5678","Main HQ - 1st Floor"
"Singh","Priya","p9q0r1s2","Legal Research Analyst","Legal Services","priya.singh@agency.gov","202-555-2234 x6789","Legal Building - 1st Floor"
"Taylor","Christopher","t3u4v5w6","Budget Planning Coordinator","Budget and Planning","christopher.taylor@agency.gov","202-555-3345 x7890","Finance Wing - 1st Floor"
"Torres","Angela","x7y8z9a0","Communications Media Specialist","Communications","angela.torres@agency.gov","202-555-4456 x8901","Media Center - 3rd Floor"
"Walker","Marcus","b1c2d3e4","IT Security Analyst","Information Technology","marcus.walker@agency.gov","202-555-5567 x9012","Tech Center - 4th Floor"
"Washington","Terri","f5g6h7j8","HR Recruitment Specialist","Human Resources","terri.washington@agency.gov","202-555-6678 x0123","HR Complex - 2nd Floor"
"Williams","Nicole","k9l0m1n2","Policy Research Analyst","Policy","nicole.williams@agency.gov","202-555-7789 x1234","West Wing - 5th Floor"
"Wilson","Eric","p3q4r5s6","Senior Administrative Coordinator","Administration","eric.wilson@agency.gov","202-555-8890 x2345","Main HQ - 5th Floor"
"Xu","Jennifer","t7u8v9w0","Legal Compliance Manager","Legal Services","jennifer.xu@agency.gov","202-555-9901 x3456","Legal Building - 5th Floor"
"Zhang","Alex","x1y2z3a4","IT Project Manager","Information Technology","alex.zhang@agency.gov","202-555-0012 x4567","Tech Center - Ground Floor"
